"","activity_type","date","favorite","distance","calories","time","avg_hr","max_hr","aerobic_te","avg_run_cadence","max_run_cadence","avg_pace","best_pace","total_ascent","total_descent","avg_stride_length","avg_vertical_ratio","avg_vertical_oscillation","avg_ground_contact_time","avg_gct_balance","training_stress_score","avg_power","max_power","grit","flow","total_strokes","avg_swolf","avg_stroke_rate","total_reps","total_sets","dive_time","min_temp","surface_interval","decompression","best_lap_time","number_of_laps","max_temp","moving_time","elapsed_time","min_elevation","max_elevation"
"20","Treadmill Running","2023-01-09 06:47:26","false","2.81","262","00:33:10",134,161,"2.4","150","172","11:48","8:02","--","--",0.94,8.1,7.5,276,"51.3% L / 48.7% R",0,0,0,0,0,"--",0,0,0,"--","0:00",73.4,"0:00","No","00:09:36.3",3,78.8,"00:32:53","00:33:10","--","--"
"21","Strength Training","2023-01-08 09:58:56","false","0.00","70","00:15:16",112,130,"0.5","--","--","--","--","--","--",0,0,0,0,"--",0,0,0,0,0,"--",0,0,91,"12","0:00",71.6,"0:00","No","00:15:16",1,73.4,"00:09:49.4","00:15:16","--","--"
"22","Treadmill Running","2023-01-08 09:39:04","false","0.94","79","00:18:51",100,108,"0.3","109","112","20:05","19:49","--","--",0.73,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",73.4,"0:00","No","00:18:51",1,77,"00:18:50","00:19:05","--","--"
"23","Treadmill Running","2023-01-06 06:54:07","false","2.51","193","00:30:46",123,148,"1.6","152","173","12:14","8:14","--","--",0.88,8.2,7.3,296,"51.0% L / 49.0% R",0,0,0,0,0,"--",0,0,0,"--","0:00",71.6,"0:00","No","00:06:07.8",3,75.2,"00:30:33","00:30:46","--","--"
"24","Treadmill Running","2023-01-05 07:06:18","false","2.92","255","00:35:01",129,154,"2.1","152","173","12:00","7:37","--","--",0.93,8.2,7.7,286,"49.8% L / 50.2% R",0,0,0,0,0,"--",0,0,0,"--","0:00",73.4,"0:00","No","00:04:47.4",6,77,"00:34:53","00:35:01","--","--"
"25","Treadmill Running","2023-01-04 07:27:00","false","3.00","252","00:36:06",137,155,"2.0","150","180","12:02","7:27","--","--",0.92,8.6,7.8,318,"50.4% L / 49.6% R",0,0,0,0,0,"--",0,0,0,"--","0:00",73.4,"0:00","No","00:11:14",3,77,"00:35:19","00:36:06","--","--"
"26","Treadmill Running","2023-01-02 07:20:30","false","3.00","268","00:35:26",131,155,"2.2","149","213","11:49","7:12","--","--",0.87,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",71.6,"0:00","No","00:10:08",3,75.2,"00:35:01","00:35:26","--","--"
"27","Treadmill Running","2023-01-01 09:59:05","false","0.50","52","00:10:52",106,119,"0.3","105","113","21:41","20:49","--","--",0.71,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",75.2,"0:00","No","00:10:52",1,77,"00:10:52","00:10:52","--","--"
"28","Strength Training","2023-01-01 09:36:31","false","0.00","82","00:22:00",106,126,"0.4","--","--","--","--","--","--",0,0,0,0,"--",0,0,0,0,0,"--",0,0,186,"17","0:00",73.4,"0:00","No","00:22:00",1,75.2,"00:13:52","00:22:00","--","--"
"29","Walking","2022-12-31 09:35:18","false","0.62","74","00:11:02",133,153,"0.8","106","230","17:50","14:59","39","102",0.85,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",64.4,"0:00","No","00:11:02",1,64.4,"00:11:02","00:13:20","2,904","2,935"
